CAGR | BEL | Mar 2023 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | BEL | Mar 2024 | fcf_cagr_5yr_flag=DECLINE_TO_LOSS
CAGR | BHARTIARTL | Mar 2019 | fcf_cagr_5yr_flag=DECLINE_TO_LOSS
CAGR | BHARTIARTL | Mar 2020 | fcf_cagr_5yr_flag=DECLINE_TO_LOSS
CAGR | BHARTIARTL | Mar 2022 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | BHARTIARTL | Mar 2024 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | BHEL | Mar 2019 | fcf_cagr_5yr_flag=DECLINE_TO_LOSS
CAGR | BHEL | Mar 2020 | fcf_cagr_5yr_flag=DECLINE_TO_LOSS
CAGR | BHEL | Mar 2022 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | BHEL | Mar 2024 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | BPCL | Mar 2019 | fcf_cagr_5yr_flag=DECLINE_TO_LOSS
CAGR | BPCL | Mar 2020 | fcf_cagr_5yr_flag=DECLINE_TO_LOSS
CAGR | BPCL | Mar 2022 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | BPCL | Mar 2024 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | BRITANNIA | Mar 2020 | fcf_cagr_5yr_flag=DECLINE_TO_LOSS
CAGR | CANBK | Mar 2018 | fcf_cagr_5yr_flag=DECLINE_TO_LOSS
CAGR | CANBK | Mar 2020 | fcf_cagr_5yr_flag=DECLINE_TO_LOSS
CAGR | CANBK | Mar 2022 | fcf_cagr_5yr_flag=DECLINE_TO_LOSS
CAGR | CANBK | Mar 2023 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | CHOLAFIN | Mar 2018 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | CHOLAFIN | Mar 2019 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | CHOLAFIN | Mar 2020 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | CHOLAFIN | Mar 2021 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | CHOLAFIN | Mar 2022 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | CHOLAFIN | Mar 2023 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | CHOLAFIN | Mar 2024 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | CIPLA | Mar 2018 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | CIPLA | Mar 2021 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | DIVISLAB | Mar 2022 | fcf_cagr_5yr_flag=DECLINE_TO_LOSS
CAGR | DIVISLAB | Mar 2023 | fcf_cagr_5yr_flag=DECLINE_TO_LOSS
CAGR | DLF | Mar 2018 | fcf_cagr_5yr_flag=DECLINE_TO_LOSS
CAGR | DLF | Mar 2022 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | DLF | Mar 2023 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | DMART | Mar 2018 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | DMART | Mar 2019 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | DMART | Mar 2020 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | DMART | Mar 2021 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | DMART | Mar 2022 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | DMART | Mar 2024 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | DRREDDY | Mar 2018 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | EICHERMOT | Mar 2017 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
CAGR | EICHERMOT | Mar 2018 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | EICHERMOT | Mar 2019 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | EICHERMOT | Mar 2022 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | GAIL | Mar 2018 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | GAIL | Mar 2023 | fcf_cagr_5yr_flag=DECLINE_TO_LOSS
CAGR | GODREJCP | Mar 2018 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | GODREJCP | Mar 2020 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | GODREJCP | Mar 2022 | fcf_cagr_5yr_flag=TURNAROUND
CAGR | GODREJCP | Mar 2024 | fcf_cagr_5yr_flag=DECLINE_TO_LOSS
CAGR | GRASIM | Mar 2018 | fcf_cagr_5yr_flag=BOTH_NEGATIVE
