company_id,year,return_on_equity_pct,return_on_capital_pct,debt_to_equity,interest_coverage,free_cash_flow_cr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,operating_profit_margin_pct,dividend_yield_pct,dividend_payout_ratio_pct,net_debt_to_ebitda
ABB,Mar 2024,32.46823465801568,36.541512427287145,0.022438496891051634,141.75,1095.0,9.716101277290168,21.69314043381163,21.65851677781967,24.84185330825782,0.96,73.0,0.05712319339298004
ADANIPORTS,Mar 2024,15.3548827162833,11.44374462092168,0.9373223691689719,5.949506037321624,8250.0,19.57867595245697,14.909565182041629,14.869835499703509,58.36172363445772,1.16,16.0,2.8982615947142216
ADANIPOWER,Mar 2024,48.27674122146251,18.385823227581948,0.8023177656738903,8.297225501770956,17651.0,16.086096410440966,,,36.20186292228556,1.65,0.0,1.8785385121790652
APOLLOHOSP,Mar 2024,13.480392156862745,13.913114353248023,0.7688869665513264,5.565701559020044,383.0,14.660042602193135,36.13077689773863,29.95061094416296,12.56099480560365,3.22,26.0,1.8157894736842106
ATGL,Mar 2024,18.65921787709497,18.41541755888651,0.43491620111731844,10.504504504504505,,21.08864867789759,23.8762916927858,24.57309396155174,24.670391061452516,0.51,4.0,0.7708333333333334
BEL,Mar 2024,4744.047619047619,3628.3464566929133,0.5119047619047619,476.75,-1265.0,10.7508063318833,16.12648618019128,10.756634324829006,24.921057825143084,0.76,40.0,0.008315185111859039
BHEL,Mar 2024,1.1539405843358703,1.3876374121463328,0.36238644733611586,1.5929951690821256,-2382.0,-4.728642461606237,-22.397399063784775,-19.72584382397693,2.9757669610346125,4.04,31.0,12.09563994374121
BOSCHLTD,Mar 2024,20.639920424403183,13.756919771957365,0.003232758620689655,71.7843137254902,1536.0,6.717165240230294,9.275930793686072,9.261870727688626,12.524660728164047,4.23,44.0,-2.4276849642004774
BPCL,Mar 2024,35.511337343822305,28.649200669564017,0.7218747934157467,11.355507351168956,25415.0,8.483226324685255,25.790698729746552,28.063048802615654,9.837909494446341,1.15,33.0,0.6344539721428247
BRITANNIA,Mar 2024,54.14869322506978,47.735597735597736,0.5239786856127886,20.597560975609756,3050.0,8.690023727476138,13.063515827454196,13.14353769849137,18.886039716142882,1.88,83.0,-0.2216608778023366
DMART,Mar 2024,13.56294790886726,17.49611197511664,0.031661140228901485,73.29310344827586,278.0,20.48312440202782,22.96698996520703,22.740337821451305,8.084427730414067,1.94,0.0,0.11811982464685826
DRREDDY,Mar 2024,19.74233736816026,21.361052353252248,0.07085722375592836,51.707602339181285,509.0,12.639644349571988,23.392504645437473,23.842409558387544,28.321016743422227,0.09,12.0,-0.3690911382831211
GODREJCP,Mar 2024,-4.45308779171297,17.168141592920357,0.2557548817272583,2.412903225806452,-1365.0,6.447080048592069,,,20.977582292849036,3.09,,-0.09536692593845113
HAVELLS,Mar 2024,17.067275412917954,19.90967741935484,0.040687525177924,25.357142857142858,335.0,13.037907939063121,10.033231229420036,8.997698704834534,10.118343195266272,2.6,44.0,0.15045188729399256
HDFCLIFE,Mar 2024,10.732306013909723,645.952868852459,0.06477567162143734,192.2895238095238,-2893.0,21.16813430936688,4.25449161597129,3.131030647754507,99.47675449833469,3.22,27.0,-2.8744440372061693
HINDALCO,Mar 2024,9.567011474761177,113.57952517507476,0.5309290976579428,126.46543778801843,9789.0,10.592433818985914,13.06871230695661,13.396657763302722,88.94620349876368,0.98,8.0,0.21298349731896507
ICICIPRULI,Mar 2024,7.732848705134029,753.9778779188856,0.10904134484325306,31.021548821548823,105.0,16.84553965244746,-5.6631941891523425,-5.591248870509801,102.02531365231931,0.35,10.0,-3.131544673091951
IOC,Mar 2024,23.53162465856491,18.915027923238778,0.7230954600718581,10.282324578099226,39635.0,8.008755667240486,20.099089966731643,20.11244339814313,9.743776019125345,1.25,40.0,0.8868413399254422
ITC,Mar 2024,27.851074395694365,32.63868466782516,0.004066731984914169,362.9625,18742.0,7.950896846254429,10.083407558317958,9.856054330611785,37.0177518132814,4.26,84.0,-1.1745130179544847
JINDALSTEL,Mar 2024,13.410506363390198,12.14055405672172,0.3716941962270963,8.004636785162287,-2336.0,1.4028310947741707,,,20.260555268697622,1.9,3.0,1.53430699862772
JSWSTEEL,Mar 2024,11.5528718021347,12.064375531985535,1.1328071688833383,3.659099321406539,-2389.0,15.604695052452788,3.585216043903361,2.3836255539609663,16.089162657280323,2.94,25.0,2.8674219554640055
LICI,Mar 2024,49.44710986501021,39.05035832114759,0.0,371.9375,853.0,8.15986061977938,73.17556747076097,,3.87474201090824,3.77,15.0,-151.8085664602337
M&M,Mar 2024,18.537543435564285,11.535315751242587,1.6414413053331318,3.7646901709401708,-11245.0,5.838805854237616,15.316887061047968,16.175509914303852,17.89787025985418,2.37,21.0,2.950305318977985
MARUTI,Mar 2024,15.750385351954785,15.59092764270305,0.001389602503619973,117.90721649484536,4936.0,10.510215112642584,12.007182039300378,11.139222486886503,13.130031439890594,1.78,29.0,-3.069741221947815
MOTHERSON,Mar 2024,11.546549416937488,11.962584369642121,0.7616899254444657,5.224737713970182,925.0,9.21195713294276,7.557399109099472,5.922384104881218,9.445547764763102,2.18,20.0,1.437567045698348
NESTLEIND,Mar 2024,117.75449101796407,143.14789687924016,0.10329341317365269,41.186206896551724,2938.0,14.548573711802671,14.852319512993839,15.43852585822143,23.829630236943512,3.85,79.0,-0.020471357302597627
ONGC,Mar 2024,16.940398136885513,15.108995188179117,0.45444863084819176,11.361290955463998,42060.0,7.001683761214439,10.96639922553624,10.197228772148016,17.388518015001793,1.11,31.0,0.49568726600865465
PIDILITIND,Mar 2024,20.780302129178065,26.93139151211742,0.045438325205186154,54.333333333333336,955.0,11.836370175898114,13.48774998597666,13.564157249607756,21.868690947266415,1.01,47.0,-0.6842688330871491
PNB,Mar 2024,61.320565191187306,,3.684256345007701,,-29445.0,15.902076009106025,,,,1.32,18.0,
POWERGRID,Mar 2024,17.870011245496066,12.689046909266978,1.4173456039290386,4.60298643565485,24176.0,5.510261937513361,9.189188268434778,9.096607850144967,86.87476823070044,3.09,67.0,2.996861346858836
SHREECEM,Mar 2024,8.370767521615225,11.722348942260387,0.07998840747717723,19.825581395348838,1929.0,10.325615915556586,11.2926552609119,10.67987982673917,22.01647093221578,3.2,16.0,-1.3058875608676406
SIEMENS,Sep 2024,17.698769290877124,17.7411102583781,0.018167610861496385,67.15,1168.0,11.193358902067896,19.85339817550189,19.643850003755613,13.956834532374101,3.69,16.0,0.0895618556701031
SUNPHARMA,Mar 2024,15.094161810671148,15.627194096293751,0.051423814535002436,58.331932773109244,11372.0,10.78116321985565,24.536829642931245,29.45936165164078,26.84289749881436,3.88,34.0,-0.9027500384083577
TATAMOTORS,Mar 2024,37.45613415294755,16.79050889790821,1.2631244259167667,6.530242339274985,45133.0,7.7201595386239275,,,13.595385542828959,3.65,7.0,1.4157512848936813
TCS,Mar 2024,50.944313673485176,60.2081007004365,0.0886406082507266,87.09511568123393,50429.0,10.463614801716602,7.871172131953608,8.618771612987096,26.690688396923118,1.62,58.0,-0.3692453651860147
TORNTPHARM,Mar 2024,24.154025670945156,23.533737819452107,0.5866394399066511,9.926553672316384,3106.0,6.932744476678732,30.591457402327848,30.391879544001377,31.3944817300522,1.22,57.0,1.142814726840855
TRENT,Mar 2024,36.30776794493609,22.33293248582718,0.4309242871189774,8.043478260869565,841.0,36.30691600183056,73.11367578503176,69.52182030724354,15.927272727272726,3.46,8.0,0.17097919837645864
