company_id,year,return_on_equity_pct,return_on_capital_pct,debt_to_equity,interest_coverage,free_cash_flow_cr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,operating_profit_margin_pct
ABB,Mar 2024,32.46823465801568,36.541512427287145,0.022438496891051634,141.75,1095.0,9.716101277290168,21.69314043381163,21.65851677781967,24.84185330825782
ADANIPORTS,Mar 2024,15.3548827162833,11.44374462092168,0.9373223691689719,5.949506037321624,8250.0,19.57867595245697,14.909565182041629,14.869835499703509,58.36172363445772
ADANIPOWER,Mar 2024,48.27674122146251,18.385823227581948,0.8023177656738903,8.297225501770956,17651.0,16.086096410440966,,,36.20186292228556
APOLLOHOSP,Mar 2024,13.480392156862745,13.913114353248023,0.7688869665513264,5.565701559020044,383.0,14.660042602193135,36.13077689773863,29.95061094416296,12.56099480560365
ATGL,Mar 2024,18.65921787709497,18.41541755888651,0.43491620111731844,10.504504504504505,,21.08864867789759,23.8762916927858,24.57309396155174,24.670391061452516
BEL,Mar 2024,4744.047619047619,3628.3464566929133,0.5119047619047619,476.75,-1265.0,10.7508063318833,16.12648618019128,10.756634324829006,24.921057825143084
BHEL,Mar 2024,1.1539405843358703,1.3876374121463328,0.36238644733611586,1.5929951690821256,-2382.0,-4.728642461606237,-22.397399063784775,-19.72584382397693,2.9757669610346125
BOSCHLTD,Mar 2024,20.639920424403183,13.756919771957365,0.003232758620689655,71.7843137254902,1536.0,6.717165240230294,9.275930793686072,9.261870727688626,12.524660728164047
BPCL,Mar 2024,35.511337343822305,28.649200669564017,0.7218747934157467,11.355507351168956,25415.0,8.483226324685255,25.790698729746552,28.063048802615654,9.837909494446341
BRITANNIA,Mar 2024,54.14869322506978,47.735597735597736,0.5239786856127886,20.597560975609756,3050.0,8.690023727476138,13.063515827454196,13.14353769849137,18.886039716142882
DMART,Mar 2024,13.56294790886726,17.49611197511664,0.031661140228901485,73.29310344827586,278.0,20.48312440202782,22.96698996520703,22.740337821451305,8.084427730414067
DRREDDY,Mar 2024,19.74233736816026,21.361052353252248,0.07085722375592836,51.707602339181285,509.0,12.639644349571988,23.392504645437473,23.842409558387544,28.321016743422227
GODREJCP,Mar 2024,-4.45308779171297,17.168141592920357,0.2557548817272583,2.412903225806452,-1365.0,6.447080048592069,,,20.977582292849036
HAVELLS,Mar 2024,17.067275412917954,19.90967741935484,0.040687525177924,25.357142857142858,335.0,13.037907939063121,10.033231229420036,8.997698704834534,10.118343195266272
HDFCLIFE,Mar 2024,10.732306013909723,645.952868852459,0.06477567162143734,192.2895238095238,-2893.0,21.16813430936688,4.25449161597129,3.131030647754507,99.47675449833469
HINDALCO,Mar 2024,9.567011474761177,113.57952517507476,0.5309290976579428,126.46543778801843,9789.0,10.592433818985914,13.06871230695661,13.396657763302722,88.94620349876368
ICICIPRULI,Mar 2024,7.732848705134029,753.9778779188856,0.10904134484325306,31.021548821548823,105.0,16.84553965244746,-5.6631941891523425,-5.591248870509801,102.02531365231931
IOC,Mar 2024,23.53162465856491,18.915027923238778,0.7230954600718581,10.282324578099226,39635.0,8.008755667240486,20.099089966731643,20.11244339814313,9.743776019125345
ITC,Mar 2024,27.851074395694365,32.63868466782516,0.004066731984914169,362.9625,18742.0,7.950896846254429,10.083407558317958,9.856054330611785,37.0177518132814
JINDALSTEL,Mar 2024,13.410506363390198,12.14055405672172,0.3716941962270963,8.004636785162287,-2336.0,1.4028310947741707,,,20.260555268697622
JSWSTEEL,Mar 2024,11.5528718021347,12.064375531985535,1.1328071688833383,3.659099321406539,-2389.0,15.604695052452788,3.585216043903361,2.3836255539609663,16.089162657280323
LICI,Mar 2024,49.44710986501021,39.05035832114759,0.0,371.9375,853.0,8.15986061977938,73.17556747076097,,3.87474201090824
